,casos,tempmed,umidmed
324,13,25.6632652857,70.1004805714
325,8,24.3469384286,59.4338778571
326,10,25.510204,66.8036005714
327,6,23.2755104286,65.1344911429
328,16,22.8367347143,63.7877495714
329,12,23.3227038571,59.3258732857
330,18,23.4285714286,54.7906247143
331,8,20.8877547143,58.2519762857
332,15,20.3367342857,62.2625304286
333,10,22.7448977143,57.166351
334,14,17.2959181429,57.7922095714
335,7,20.6632655714,62.8421824286
336,11,23.1734691429,63.6021154286
337,15,20.6823651429,64.0018
338,7,20.1766091429,62.1759107143
339,5,19.0103608571,62.1232865714
340,10,20.952551,59.0860437143
341,10,20.9254321429,62.4033857143
342,12,21.7684458571,51.4661935714
343,3,21.4489798571,59.7241622857
344,1,20.4175824286,49.849063
345,3,24.2823651429,43.740513
346,4,19.1224492857,73.2418781429
347,0,20.8673471429,50.4255048571
348,2,25.1020407143,48.3722465714
349,5,27.4999998571,43.9227688571
350,4,27.4638412857,42.6442837143
351,4,22.5510205714,64.2793244286
352,1,28.9635797143,47.6843944286
353,4,26.756672000000002,62.907687
354,8,23.2530092857,66.1886477143
355,6,24.5714288571,62.4832617143
356,5,25.3296705714,64.2841008571
357,5,21.6554158571,66.1563288571
